Subcorpus	Filename	Year data collection	Placement test score (raw)	Placement test score (%)	Proficiency	Sex	Age	School/University/Institution	Major	Year at university/school	L1	Father's native language	Mother's nativelanguage	Languages spoken at home	Age of exposure to Spanish	Years studying Spanish	Stay abroad in Spanish speaking country (>= 1 month)	Stay abroad (where)	Stay abroad (when)	Stay abroad (months)	Language certificates (type and level)	Proficiency (self-assessment) speaking	Proficiency (self-assessment) listening	Proficiency (self-assessment) reading	Proficiency (self-assessment) writing	Proficiency (self-assessment)	Additional foreign language(s)	Proficiency (self-assessment) in additional language speaking	Proficiency (self-assessment) in additional language listening	Proficiency (self-assessment) in additional language reading	Proficiency (self-assessment) in additional language writing	Medium	Task number	Task title	Writting/audio details	Minutes taken to complete the task	Where the task was done	Resources used	Text	Original text
Learners	EN_WR_6_20_3_1_CJB	2006-2016	6 / 43	14	Lower beginner	Female	20	Georgia State University	Spanish	1st	English	Spanish	Spanish	English	17	3	No	""	""	0	""	Lower intermediate (B1)	Lower intermediate (B1)	Lower beginner (A1)	Upper beginner (A2)	2.25 / 6	""	""	""	""	""	Written	1	1. Region where you live	written_online	""	Inside classroom	Help from a Spanish native speaker, Bilingual dictionary (Spanish/English)	Yo vivo es Alanta, Georgia. Atlanta es muy grande ciudad. Mi madre casa es dos stories. Mi casa tiene dos gato. Mi gato nombre Tumble y Gordon. Mi familia es panamaian. Mi madre es muy bonita y mi gemela es muy inteligente. Atlanta tiene es diferente personas. Personas es guapo, bonita, bajo, y alto. Atlanta tienes mucho casas, carros, y buildings. Mi carro es negro y pequeno. Viven en Atlanta tu tienes carro. Mi apartemento es grande, con un pequeno bano.	
Learners	EN_WR_7_16_2_6_RM	2006-2016	7 / 43	16.3	Lower beginner	Female	16	N/A	""	1st	English	English	English	English	15	2	No	""	""	0	""	Lower beginner (A1)	Lower intermediate (B1)	Lower intermediate (B1)	Lower intermediate (B1)	2.5 / 6	""	""	""	""	""	Written	6	6. Recent trip	written_online	""	Outside classroom	""	Mi familia y yo fue en a viaje en le verano. Fuemos Nuava York. El es fabuloso. Fue muy difertido y bonito. Amo lo. Las platas fue muy marvillso. Me gusté mi nuava mochillo yo busqué en Nueva York. El viaje fue muy bien. Tengé a faboloso hora. Tengo uno hermano. Le llamo es Adam. Mi madre y mi padre llamo es Steve y Jone. Tieneron marvilloso hora tambien. Fuemos el apartmento mis tios vives. Fueron muy serio porque divertido. Me gusta ellos. Me gusta ellos casa muchos. Es azul con blanco ventanillo. Mi tios es 45 años. Ellos cumpleaños es 16 de Septiembre y 21 de noviembre.	
Learners	EN_WR_7_26_2_2_TB	2006-2016	7 / 43	16.3	Lower beginner	Male	26	Georgia State University	Film	4th	English	English	English	English	18	2	No	""	""	0	""	Upper beginner (A2)	Upper beginner (A2)	Upper beginner (A2)	Upper beginner (A2)	2 / 6	""	""	""	""	""	Written	2	2. Famous person	written_online	""	Inside classroom	""	Sanaa Lathan es muy famosa persona. Ella es en de television la noche y en cine. La pelicula es muy importante. Yo no soy llamo es el mas guapo del mundo. Yo soy ella muy grande fan. Ella es muy bonita y intereste. Senorita Lathan es	
Learners	EN_WR_8_16_3_1_KJO	2006-2016	8 / 43	18.6	Lower beginner	Female	16	Central Catholic High School	11	3rd	English	English	English	English	14	3	No	""	""	0	""	Lower intermediate (B1)	Lower beginner (A1)	Lower intermediate (B1)	Lower intermediate (B1)	2.5 / 6	""	""	""	""	""	Written	1	1. Region where you live	written_online	""	Inside classroom	""	Hola! Me llamo Kaitlyn. Yo tengo 16 años. To tengo pelo rubia y ojos azuls. Me gusta leer mucho. Yo vivo en Lafayette. Hoy eastá muy frio. Neveo pasado semama. Fui a esquela en Central Catholic. Pasado año yo fui a esquela en Attica. Hace dos años yo fui a esquela a McCutcheon.  <br/>  Yo tengo uno hermana, ella tene 14 años. Se nombre Kiera. Ella está en grado 8. Ella tene pelo marrones, y ojos marrones. Se gusta leer. Tambien, yo tengo uno hermano. Se nombre Ryan. El es muy comicó. El tene 19 años. Él tene pelo rubio, y ojos azuls. El fui colegio en Valpo. Juga futból Americano para Valpo. Él venio a casa para Navidad en deciembre. Me gusta mi hermano. Yo tengo un perro. Se nombre Bear. El es blanco, feo, grande, y gordo. Me gusta mucho mi perro. El es muy comicó. Mi parde es un profesor en Central Catholic. El tene pelo marrones y ojos azuls. Se gusta mucho fotból Americano. Hoy es el cumpleaños de mi madre. Ella tene 43 años. Mi madre tene pelo rubia, and ojos verdes. <br/>  Yo tengo 2 tiós. Uno tió es el hermano de mi padre. Otro Tió es el hermano de mi madre.	
Learners	EN_WR_8_20_3_2_BNT	2006-2016	8 / 43	18.6	Lower beginner	Female	20	Georgia State University	Spanish	1st	English	English	English	English	14	3	No	""	""	0	""	Lower beginner (A1)	Lower beginner (A1)	Lower beginner (A1)	Lower beginner (A1)	1 / 6	""	""	""	""	""	Written	2	2. Famous person	written_online	""	Inside classroom	""	¡Hola¡ <br/>   Me llamo Brittney. Me topica es habla de una persona famosa. Ella es Cameron Díaz. Ella es una bonita. Ella es muy alta. Ella es muy extrovertida tambien.	
Learners	EN_WR_8_24_2_1_NJT	2006-2016	8 / 43	18.6	Lower beginner	Male	24	Pennsylvania State University	Liberal Arts Spanish 2	2nd	English	English	English	English	23	2	No	""	""	0	""	Lower beginner (A1)	Lower beginner (A1)	Lower beginner (A1)	Lower beginner (A1)	1 / 6	""	""	""	""	""	Written	1	1. Region where you live	written_online	""	Inside classroom	""	¿Cómo es la región donde vives? Yo región es cuatro seasons. Muy frío es Decembre por Febuary. Muy alago un spring y fall. Fall es color. Vivo allegro casa amigo cervasa madre padre niños masa comer familia coché escribe. Voy a la escuela agosto por mayo. El caliente es cerca de 90 a 100.	
Learners	EN_WR_9_14_1_1_RCD	2006-2016	9 / 43	20.9	Lower beginner	Male	14	Central Catholic High School	8th grade	1st	English	English	English	English	14	1	No	""	""	0	""	Upper beginner (A2)	Upper beginner (A2)	Upper beginner (A2)	Upper beginner (A2)	2 / 6	""	""	""	""	""	Written	1	1. Region where you live	written_online	""	Inside classroom	""	Hola! Me llamo es Ryan. Yo tengo dos hermanos y dos hermanas. Yo tengo ojos azul. Yo soy mucho alto y mucho gaupo. Yo juago muchos deportes. Yo joago es el beisbol, el baloncesto, y el futbal americano. Yo soy un semental. Yo vivo en Lafayette Indiana. Es muy bonita. Para divertirse con los amigos que cuelgan. Mi amigos es muy aburribo. Sólo bromeaba!! Mi familia es pequena. Yo un madre y un padre. Yo tambien dos hermanas. Sus nombres son Katie y Caroline. Yo vivo dos hermanos. Sus nombres son Nicholas and Jimmy. Katie es 17 y Caroline es 6. Nick es 8 y Jimmy es 12. Voy a la escuela en Central Catholic. Tengo mis clases son la literatura, estudios sociales, religión, Inglés, matemáticas, informática, inglés, y la ciencia. Mi favorita es la clase de estudios socials. Mi casa es grande! Mi casa es rojo y blanco. Mi casa es muy bonito.	
Learners	EN_WR_9_15_3_2_CMW	2006-2016	9 / 43	20.9	Lower beginner	Female	15	N/A	""	1st	English	English	English	English	12	3	No	""	""	0	""	Lower intermediate (B1)	Lower intermediate (B1)	Lower intermediate (B1)	Lower intermediate (B1)	3 / 6	""	""	""	""	""	Written	2	2. Famous person	written_online	""	Outside classroom	""	Jennifer Lopez es Latina. Ella es muy bonita. Ella es intiligente. Ella es comica. Ella es interesante. Ella es muy talentoso. Le gusta cantar y bailar. Le gusta perros y gatos. Le gusta limonadia y pan. Le gusta mirar al telivisor. Le gusta ir al cine. Le gusta ir al parque. Le gusta caminar su perro. Le gusta nadar en su piscina. Le gusta que su madre sea al muerte. Le gusta violeta. Le gusta verde. Le gusta blanca. Le gusta negro. Le gusta azul. Le gusta cafe. Le gusta rosado. De nina, Jennifer Lopez gustaba saltar a la cuerda. Cuando era joven, ella gustaba caminar el perro en el parque. De nina, ella va a las clases de bailar para ser fantastico! Jennifer Lopez tiene un esposo, Marc Antony. Le gusta comida. De nina, Jennifer Lopez nadaba en el lago. Jennifer Lopez cantaba en su dormitorio. Le gustaba leer. Le gustaba hablar a su amigos. Ella tiene el pelo negro. Ella tiene treinta anos. Ella tiene un mano muy grande. No le gusta los gatos. No le gusta al pescar. No le gusta pescado. No le gusta la trompeta. No le gusta la leche. No le gusta la computadora. No le gusta los arboles. No le gusta el piano. Le gusta leer las revistas. Le gusta habla en espanol. Le gusta anajranjado. Le gusta amarillo. Le gusta gris. Le gusta George Bush. Le gusta Puff Daddy. Le gusta los Pussy Cat Dolls. Le gusta Brad Pitt. No le gusta Lindsay Lohan. No le gusta Julia Roberts. No le gusta Matt Damon. Jennifer Lopez gusta eschuchar a la musica latina, pop, rock, raegae ton, hip hop, emo, country, folk,etc. No le gusta la guitara. No le gusta otono. Le gusta primavera. Le gusta verano. No le gusta invierno. No es viaja. Le gusta chicos. Le gusta sus padres. Le gusta silencio. Le gusta politicos. Le gusta sus tios. Le gusta su familia. Le gusta bebir. Le gusta Pepsi. Le gusta Coca-cola. Le gusta agua. Le gusta Coors Light. Le gusta Budweiser. Le gusta las postres. Le gusta Sprite. Le gusta Mountain Dew. Le gusta Vanilla Coke. Le gusta Mellow Yello. Le gusta Dr. Pepper. Le gusta Mr. Pibb. Le hablaba por la telefono much. No le gusta los libros. No le gusta la escuela. Le gusta Brazil. Le gusta Argentina. Le gusta Mexico. Le gusta Uruguay. Le gusta Paraguay. Le gusta Panama. Le gusta Costa Rica. Le gusta Cuba. Le gusta la Republica Domnicana. Le gusta Colombia. Le gusta Chile. Le gusta Peru. Le gusta Espana. Le gusta los Estados Unidos de America. Le gusta HIlary Duff. Le gusta Los Jonas Brothers. Le gusta Daddy Yankee. Le gusta MTV. Le gusta los deportes. Le gusta balonceston. Le gusta futbol. Le gusta tenis. Le gusta beisbol. No le gusta futbol de americana. No le gusta jai-alai. Le gusta ESPN. Cuando era joven, ella jugaba con los munecas. Cuando tenia tres anos, ella gustaba jugar con los rompecabezas. De nina, ella jugaba futbol con sus amigos en la calle.	
Learners	EN_WR_9_16_2_2_RM	2006-2016	9 / 43	20.9	Lower beginner	Female	16	Grand Valley High School	""	2nd	English	English	English	English	15	2	No	""	""	0	""	Lower beginner (A1)	Lower intermediate (B1)	Lower intermediate (B1)	Lower intermediate (B1)	2.5 / 6	""	""	""	""	""	Written	2	2. Famous person	written_online	""	Outside classroom	""	Hablé para Tyra Banks. Ella a modela de super. Ella es muy importante. Ama a chicas. Ella comer los papes fritas muchas. Ella amo comer. Tenies cataño pelo. Tenies gato. Tiene llamo es Frank. Es muy bonita. Es a gato azul. ¡Qué divertido! Tambien ella es muy bonita. Soy de Alabama. Ella es a pequeño chica. Ella es muy bonita. Ella dio regalos a jovenes para Chirstams. Ella fue las casa muchos con regalos. Ella fue en el aeropuerto rara vez. Ella fue en al autobus. Tiene a chico. El llamo es Mark. El es muy divertido. Tambien el es muy guapo. Tiene la casa en Puerto Rico. EL es muy grande y muy bonito. Es casa blanco con azul ventanillo. Le gusta acampar en la montañas. Tambien le gusta bajar en la rio en canoa. No le gusta en le casa.	
Learners	EN_WR_9_16_4_1_OCM	2006-2016	9 / 43	20.9	Lower beginner	Female	16	Central Catholic High School	10	3rd	English	English	English	English	12	4	No	""	""	0	""	Lower intermediate (B1)	Lower beginner (A1)	Lower intermediate (B1)	Lower beginner (A1)	2 / 6	""	""	""	""	""	Written	1	1. Region where you live	written_online	""	Inside classroom	""	Me llamo es Olivia. Yo soy de America. Yo vivo en Lafayette, Indiana. Yo soy baja. Yo soy caucasiana. Hoy es Veintedos de Enero. Yo cumplear dieciseis anos. Me gustan primera de Enero. Yo recibe muchas regalos. Me cumpleanos es mi favorito holiday. Me gustan tiempo hace calor. Me gusta el sol. Me gusta primavera tambien. Yo tengo un perro. Se llame Milly. Ella es de color chocolate perro. Ella come mucha comida. Me tia es en la sala. En la sala hay mucha mobiliario. Hay una sofa y mesa. En la cocina hay es una largo mesa con ocho sillas. Yo tengo un computadora para no raton. Yo pone un disquet en un tarjeta. Yo tengo un pollo. Ella come arroz. Yo tengo un elefante. Me elefante come gentes. Yo tengo un novio. Se llamo Bradley Joseph Andrews. El es guapo. El es muy intelligente y alto. El me gusta! El es athelico. Me gusta musica country. Yo tengo cinco amigas. Blake Shelton, Sami Gruse, Olivia Walker, Christopher Pepita La Neve, y Hilter. Ellos muy comico y feo. Ellos bajo tambien. Me casa es blanco. Hay muchas cuartos. Me gusta bailo. Yo soy abrido. Muy dwella la cabeza. Puede ir al cuarto de bano por favor. Me casa tengo al cuarto de bano. Sami tenga un elfante tambien. Ella elfante come maize. Mis primos soy de Sur America. Aka Florida. Hace calor all el tiempo. Yo tengo muchas telefonos. Sami Gruse tienes un rapido y fea gato. Se no gustan el gato. Bradley es feo y gordo. Puedo borrar la memoirs. El no gusta me anymore. Bradley es un fool. Yo tengo un carro. Es un verde Jeep Patriot. Hay muchas featuros. Me gusta mi carro.	
