series,season,episode,word,word_freq
Love On The Spectrum,01,01,it,18896.3
Love On The Spectrum,01,01,ll,4394.06
Love On The Spectrum,01,01,be,5746.76
Love On The Spectrum,01,01,like,3998.96
Love On The Spectrum,01,01,a,20415.3
Love On The Spectrum,01,01,fairy,16.69
Love On The Spectrum,01,01,tale,12
Love On The Spectrum,01,01,a,20415.3
Love On The Spectrum,01,01,natural,42.35
Love On The Spectrum,01,01,high,195
Love On The Spectrum,01,01,i,NA
Love On The Spectrum,01,01,suppose,125.8
Love On The Spectrum,01,01,gets,222.82
Love On The Spectrum,01,01,your,6445.39
Love On The Spectrum,01,01,heart,244.18
Love On The Spectrum,01,01,racing,11.88
Love On The Spectrum,01,01,can,5247.45
Love On The Spectrum,01,01,make,1387.75
Love On The Spectrum,01,01,people,1102.98
Love On The Spectrum,01,01,do,6135.59
Love On The Spectrum,01,01,crazy,272.27
Love On The Spectrum,01,01,things,692.88
Love On The Spectrum,01,01,you,41857.1
Love On The Spectrum,01,01,just,4749.14
Love On The Spectrum,01,01,feel,627.24
Love On The Spectrum,01,01,very,1241.25
Love On The Spectrum,01,01,warm,52.14
Love On The Spectrum,01,01,inside,211.27
Love On The Spectrum,01,01,yourself,434.33
Love On The Spectrum,01,01,as,2217.02
Love On The Spectrum,01,01,a,20415.3
Love On The Spectrum,01,01,person,212.88
Love On The Spectrum,01,01,no,NA
Love On The Spectrum,01,01,no,NA
Love On The Spectrum,01,01,no,NA
Love On The Spectrum,01,01,that,14111.3
Love On The Spectrum,01,01,was,5654.73
Love On The Spectrum,01,01,too,1371.57
Love On The Spectrum,01,01,awkward,14.31
Love On The Spectrum,01,01,some,1727.24
Love On The Spectrum,01,01,girls,208.35
Love On The Spectrum,01,01,don,6295.78
Love On The Spectrum,01,01,t,14379.2
Love On The Spectrum,01,01,feel,627.24
Love On The Spectrum,01,01,like,3998.96
Love On The Spectrum,01,01,dating,33.12
Love On The Spectrum,01,01,with,5048.33
Love On The Spectrum,01,01,someone,446.12
Love On The Spectrum,01,01,with,5048.33
Love On The Spectrum,01,01,disabilities,0.29
Love On The Spectrum,01,01,beep,6.51
Love On The Spectrum,01,01,beep,6.51
Love On The Spectrum,01,01,bi,0.88
Love On The Spectrum,01,01,boop,NA
Love On The Spectrum,01,01,an,1864.14
Love On The Spectrum,01,01,aplus,NA
Love On The Spectrum,01,01,partner,75.22
Love On The Spectrum,01,01,looks,311.49
Love On The Spectrum,01,01,like,3998.96
Love On The Spectrum,01,01,me,9241.94
Love On The Spectrum,01,01,oh,NA
Love On The Spectrum,01,01,would,1767.88
Love On The Spectrum,01,01,you,41857.1
Love On The Spectrum,01,01,like,3998.96
Love On The Spectrum,01,01,to,22677.8
Love On The Spectrum,01,01,get,4583.76
Love On The Spectrum,01,01,married,238.49
Love On The Spectrum,01,01,um..,NA
Love On The Spectrum,01,01,the,29449.2
Love On The Spectrum,01,01,course,487.22
Love On The Spectrum,01,01,of,11577.2
Love On The Spectrum,01,01,true,253.35
Love On The Spectrum,01,01,love,1114.98
Love On The Spectrum,01,01,never,1362.55
Love On The Spectrum,01,01,did,2341.37
Love On The Spectrum,01,01,run,350.55
Love On The Spectrum,01,01,"smooth""",NA
Love On The Spectrum,01,01,of,11577.2
Love On The Spectrum,01,01,course,487.22
Love On The Spectrum,01,01,it,18896.3
Love On The Spectrum,01,01,doesn,635.98
Love On The Spectrum,01,01,t,14379.2
Love On The Spectrum,01,01,yes,NA
Love On The Spectrum,01,01,ready,387.8
Love On The Spectrum,01,01,hello,NA
Love On The Spectrum,01,01,my,6762.73
Love On The Spectrum,01,01,name,641.86
Love On The Spectrum,01,01,is,9013
Love On The Spectrum,01,01,michael,NA
Love On The Spectrum,01,01,and,13387.8
Love On The Spectrum,01,01,i,NA
Love On The Spectrum,01,01,happen,254.27
Love On The Spectrum,01,01,to,22677.8
Love On The Spectrum,01,01,be,5746.76
Love On The Spectrum,01,01,a,20415.3
Love On The Spectrum,01,01,25year-old,NA
Love On The Spectrum,01,01,man,1845.75
Love On The Spectrum,01,01,about,3631.49
Love On The Spectrum,01,01,being,485.9
Love On The Spectrum,01,01,on,6955.73
Love On The Spectrum,01,01,the,29449.2
Love On The Spectrum,01,01,spectrum,2.16
Love On The Spectrum,01,01,well,NA
Love On The Spectrum,01,01,autism,0.71
Love On The Spectrum,01,01,is,9013
Love On The Spectrum,01,01,just,4749.14
Love On The Spectrum,01,01,a,20415.3
Love On The Spectrum,01,01,neurological,1.12
Love On The Spectrum,01,01,disability,1.98
Love On The Spectrum,01,01,people,1102.98
Love On The Spectrum,01,01,with,5048.33
Love On The Spectrum,01,01,asperger,NA
Love On The Spectrum,01,01,s,20731.4
Love On The Spectrum,01,01,or,1705.29
Love On The Spectrum,01,01,autism,0.71
Love On The Spectrum,01,01,they,4102.94
Love On The Spectrum,01,01,just,4749.14
Love On The Spectrum,01,01,learn,118.57
Love On The Spectrum,01,01,things,692.88
Love On The Spectrum,01,01,a,20415.3
Love On The Spectrum,01,01,different,209.53
Love On The Spectrum,01,01,way,1424.73
Love On The Spectrum,01,01,as,2217.02
Love On The Spectrum,01,01,far,220.76
Love On The Spectrum,01,01,as,2217.02
Love On The Spectrum,01,01,i,NA
Love On The Spectrum,01,01,m,6730.29
Love On The Spectrum,01,01,concerned,44.33
Love On The Spectrum,01,01,if,3541.37
Love On The Spectrum,01,01,anything,907.25
Love On The Spectrum,01,01,it,18896.3
Love On The Spectrum,01,01,s,20731.4
Love On The Spectrum,01,01,actually,322.33
Love On The Spectrum,01,01,more,1298.59
Love On The Spectrum,01,01,of,11577.2
Love On The Spectrum,01,01,a,20415.3
Love On The Spectrum,01,01,gift,64.51
Love On The Spectrum,01,01,michael,NA
Love On The Spectrum,01,01,oh,NA
Love On The Spectrum,01,01,yes,NA
Love On The Spectrum,01,01,i,NA
Love On The Spectrum,01,01,am,1106.63
Love On The Spectrum,01,01,i,NA
Love On The Spectrum,01,01,would,1767.88
Love On The Spectrum,01,01,like,3998.96
Love On The Spectrum,01,01,to,22677.8
Love On The Spectrum,01,01,start,340.1
Love On The Spectrum,01,01,dating,33.12
Love On The Spectrum,01,01,i,NA
Love On The Spectrum,01,01,just,4749.14
Love On The Spectrum,01,01,um..,NA
Love On The Spectrum,01,01,don,6295.78
Love On The Spectrum,01,01,t,14379.2
Love On The Spectrum,01,01,really,1500.16
Love On The Spectrum,01,01,know,5721.18
Love On The Spectrum,01,01,how,NA
Love On The Spectrum,01,01,to,22677.8
Love On The Spectrum,01,01,get,4583.76
Love On The Spectrum,01,01,started,187.57
Love On The Spectrum,01,01,because..,NA
Love On The Spectrum,01,01,i,NA
Love On The Spectrum,01,01,ve,NA
Love On The Spectrum,01,01,tried,186.84
Love On The Spectrum,01,01,numerous,3.59
Love On The Spectrum,01,01,ways,51.63
Love On The Spectrum,01,01,and,13387.8
Love On The Spectrum,01,01,they,4102.94
Love On The Spectrum,01,01,ve,NA
Love On The Spectrum,01,01,all,5161.86
Love On The Spectrum,01,01,been,1736.73
Love On The Spectrum,01,01,unsuccessful,0.86
Love On The Spectrum,01,01,to,22677.8
Love On The Spectrum,01,01,become,115.57
Love On The Spectrum,01,01,a,20415.3
Love On The Spectrum,01,01,husband,194.8
Love On The Spectrum,01,01,can,5247.45
Love On The Spectrum,01,01,be,5746.76
Love On The Spectrum,01,01,difficult,60.16
Love On The Spectrum,01,01,this,7978.73
Love On The Spectrum,01,01,room,439.51
Love On The Spectrum,01,01,here,4525.25
Love On The Spectrum,01,01,is,9013
Love On The Spectrum,01,01,my,6762.73
Love On The Spectrum,01,01,bedroom,36.71
Love On The Spectrum,01,01,but,4417.47
Love On The Spectrum,01,01,i,NA
Love On The Spectrum,01,01,actually,322.33
Love On The Spectrum,01,01,call,861.39
Love On The Spectrum,01,01,it,18896.3
Love On The Spectrum,01,01,my,6762.73
Love On The Spectrum,01,01,quarters,16.16
Love On The Spectrum,01,01,it,18896.3
Love On The Spectrum,01,01,s,20731.4
Love On The Spectrum,01,01,the,29449.2
Love On The Spectrum,01,01,main,42.73
Love On The Spectrum,01,01,place,602.67
Love On The Spectrum,01,01,in,9773.41
Love On The Spectrum,01,01,this,7978.73
Love On The Spectrum,01,01,world,455.22
Love On The Spectrum,01,01,that,14111.3
Love On The Spectrum,01,01,i,NA
Love On The Spectrum,01,01,feel,627.24
Love On The Spectrum,01,01,safe,143.2
Love On The Spectrum,01,01,these,904
Love On The Spectrum,01,01,are,5209.25
Love On The Spectrum,01,01,my,6762.73
Love On The Spectrum,01,01,love,1114.98
Love On The Spectrum,01,01,ducks,8.47
Love On The Spectrum,01,01,if,3541.37
Love On The Spectrum,01,01,you,41857.1
Love On The Spectrum,01,01,are,5209.25
Love On The Spectrum,01,01,single,72.08
Love On The Spectrum,01,01,and,13387.8
Love On The Spectrum,01,01,seeking,5.65
Love On The Spectrum,01,01,love,1114.98
Love On The Spectrum,01,01,sit,311.35
Love On The Spectrum,01,01,them,1778.82
Love On The Spectrum,01,01,beside,15.18
Love On The Spectrum,01,01,your,6445.39
Love On The Spectrum,01,01,bed,187.12
Love On The Spectrum,01,01,and,13387.8
Love On The Spectrum,01,01,love,1114.98
Love On The Spectrum,01,01,is,9013
Love On The Spectrum,01,01,sure,1099.82
Love On The Spectrum,01,01,to,22677.8
Love On The Spectrum,01,01,come,NA
Love On The Spectrum,01,01,your,6445.39
Love On The Spectrum,01,01,way,1424.73
Love On The Spectrum,01,01,i,NA
Love On The Spectrum,01,01,actually,322.33
Love On The Spectrum,01,01,bought,85.53
Love On The Spectrum,01,01,them,1778.82
Love On The Spectrum,01,01,from,2039.06
Love On The Spectrum,01,01,a,20415.3
Love On The Spectrum,01,01,store,81.92
Love On The Spectrum,01,01,in,9773.41
Love On The Spectrum,01,01,newtown,NA
Love On The Spectrum,01,01,six,199.53
Love On The Spectrum,01,01,years,568.69
Love On The Spectrum,01,01,ago,286.12
Love On The Spectrum,01,01,excuse,NA
Love On The Spectrum,01,01,me,9241.94
Love On The Spectrum,01,01,a,20415.3
Love On The Spectrum,01,01,second,284.57
Love On The Spectrum,01,01,gentlemen,154.39
Love On The Spectrum,01,01,it,18896.3
Love On The Spectrum,01,01,s,20731.4
Love On The Spectrum,01,01,a,20415.3
Love On The Spectrum,01,01,plaque,2.08
Love On The Spectrum,01,01,i,NA
Love On The Spectrum,01,01,actually,322.33
Love On The Spectrum,01,01,made,561.29
Love On The Spectrum,01,01,it,18896.3
Love On The Spectrum,01,01,specifically,10.27
Love On The Spectrum,01,01,for,6895.1
Love On The Spectrum,01,01,my,6762.73
Love On The Spectrum,01,01,future,103.49
Love On The Spectrum,01,01,wife,348.92
Love On The Spectrum,01,01,five,285.45
Love On The Spectrum,01,01,years,568.69
Love On The Spectrum,01,01,ago,286.12
Love On The Spectrum,01,01,oh,NA
Love On The Spectrum,01,01,yes,NA
Love On The Spectrum,01,01,i,NA
Love On The Spectrum,01,01,do,6135.59
Love On The Spectrum,01,01,it,18896.3
Love On The Spectrum,01,01,s,20731.4
Love On The Spectrum,01,01,most,350.76
Love On The Spectrum,01,01,important,207.59
Love On The Spectrum,01,01,thing,1088.67
Love On The Spectrum,01,01,that,14111.3
Love On The Spectrum,01,01,i,NA
Love On The Spectrum,01,01,want,2759.18
Love On The Spectrum,01,01,to,22677.8
Love On The Spectrum,01,01,achieve,7.33
Love On The Spectrum,01,01,achieve,7.33
